月,週,種別,タイトル,キーワード,ターゲット,有料/無料,価格,有料ライン位置,ハッシュタグ,ステータス
M1,W1,設定,プロフィール完成・固定記事公開・メンバーシップ開設告知,,,,,,,,未着手
M1,W1,無料,中小企業のAI導入で現場が止まる3つの原因,中小企業 AI導入 失敗,経営者・DX担当,無料,,,#生成AI #中小企業DX #AI活用 #業務効率化,未着手
M1,W1,無料,AIを導入する前に「やること」と「やってはいけないこと」,AI導入 進め方 注意点,経営者・管理職,無料,,,#ChatGPT #AI導入 #中小企業,未着手
M1,W2,無料,ChatGPTを業務で使い続けるための社内ルール設計,ChatGPT 社内ルール テンプレ,DX担当・総務,無料,,,#ChatGPT #業務効率化 #社内ルール,未着手
M1,W2,有料,AI導入で事故る前に読む セキュリティ＆リスク対策チェックリスト,AI セキュリティ 中小企業 リスク,経営者・情シス,有料,980,H2「チェックリスト本体」の手前,#生成AI #セキュリティ #AI活用,未着手
M1,W2,無料,「AI導入PoC」失敗する会社の共通点5つ,AI導入 PoC 失敗 中小企業,経営者・管理職,無料,,,#AI導入 #DX #中小企業,未着手
M1,W3,有料,AIコーディングツールを安全に使うためのセキュリティ設定ガイド,Claude Code セキュリティ 権限設定 コマンド制限,経営者・開発者・情シス,有料,980,H2「設定ファイルの実例」の手前,#生成AI #セキュリティ #AI活用 #Claude,未着手
M1,W3,有料,「AIを入れたのに誰も使わない」を防ぐ 社内ルール＆運用設計ガイド,AI 定着 運用ルール 社内,経営者・管理職,有料,980,H2「運用ルール雛形」の手前,#AI活用 #業務効率化 #DX,未着手
M1,W3,無料,プロンプト管理術：チームで使い続ける3つの仕組み,プロンプト 管理 方法 チーム,DX担当,無料,,,#ChatGPT #プロンプト #チーム,未着手
M1,W4,有料,【建設業】AI導入で最初にやるべきこと・やってはいけないこと,建設業 AI 導入 日報,建設業 経営者・現場監督,有料,980,H2「判断基準と優先順位」の手前,#建設業 #AI活用 #業務効率化,未着手
M1,W4,無料,AI導入ロードマップ：最初の90日で現場が回る設計,AI導入 ロードマップ 90日,経営者・管理職,無料,,,#AI導入 #中小企業DX #ロードマップ,未着手
M1,W4,設定,メンバーシップ正式開始（¥980ライトプラン）,,,,,,,,未着手
M2,W1,有料,中小企業のAI導入 最初の一歩で9割が間違えること,AI導入 最初 失敗 順番,経営者,有料,980,H2「正しい導入ステップ」の手前,#AI導入 #中小企業 #DX,未着手
M2,W1,無料,生成AIの社内研修：カリキュラム設計の全体像,AI 研修 カリキュラム 中小企業,人事・管理職,無料,,,#生成AI #研修 #人材育成,未着手
M2,W2,有料,【士業】AI導入で最初にやるべきこと・やってはいけないこと,士業 AI 活用 月次報告,税理士・社労士,有料,980,H2「業務別判断基準」の手前,#士業 #AI活用 #業務効率化,未着手
M2,W2,無料,AI×人手不足：中小企業が最初に自動化すべき3業務,AI 人手不足 解決 自動化,経営者,無料,,,#人手不足 #AI活用 #中小企業,未着手
M2,W3,設定,有料マガジン「中小企業のAI導入 設計と失敗回避の全記録」¥4980 公開,,,,,,,,未着手
M2,W3,無料,AIを現場に定着させるための3つの仕組み,AI 定着 現場 運用,管理職・DX担当,無料,,,#AI活用 #DX #業務改善,未着手
M2,W4,有料,【小売・飲食】AI導入で最初にやるべきこと・やってはいけないこと,小売 飲食 AI 活用,店長・オーナー,有料,980,H2「業種別判断基準」の手前,#小売 #飲食 #AI活用,未着手
M2,W4,設定,メンバーシップ¥2980スタンダードプラン追加,,,,,,,,未着手
M3,W1,設定,有料マガジン「経営者のためのAIセキュリティ＆ガバナンス完全版」¥4980 公開,,,,,,,,未着手
M3,W1,無料,中小企業がAI導入で「現場が回る」までにやったこと全記録,生成AI 中小企業 事例 導入,経営者,無料,,,#AI導入 #事例 #中小企業DX,未着手
M3,W2,有料,AI導入の効果測定：KPI設計と経営者への報告書の書き方,AI導入 効果測定 KPI,管理職・DX担当,有料,980,H2「KPIテンプレと報告書雛形」の手前,#AI導入 #KPI #効果測定,未着手
M3,W2,無料,AIツールの使い分け：Claude・ChatGPT・Gemini 結局どれがいい？,AI ツール 比較 使い分け,全般,無料,,,#ChatGPT #Claude #Gemini #AI比較,未着手
M3,W3,設定,有料マガジン「AI導入プロジェクト 完全ロードマップ」¥9800 公開,,,,,,,,未着手
M3,W3,設定,メンバーシップ¥9800プレミアム（法人）プラン追加,,,,,,,,未着手
M3,W4,無料,3ヶ月のnote運営振り返り：売れた記事・売れない記事の分析,note 収益化 振り返り 分析,note運営者,無料,,,#note収益化 #振り返り,未着手
